CustomerID;Recency;InvoiceNo;TotalPrice;Quantity; UnitPrice ;Country;Churn;Predicted_Churn
124170;182;4;124623;625; $4.320.843.373.493.980,00 ;3;1;1
124200;154;1;60039;345; $4.707.241.379.310.340,00 ;6;1;1
124220;216;1;14770;82; $1.815,00 ;0;1;1
124230;90;3;44416;508; $97.625,00 ;3;0;0
124270;62;2;40176;193; $25.184,00 ;13;0;0
124290;455;1;109358;454; $3.663,00 ;8;1;1
124360;336;1;41847;211; $2.674.375,00 ;22;1;1
124370;10;7;178386;1178; $2.174.404.761.904.760,00 ;12;0;0
124410;486;1;15573;121; $2.080.909.090.909.090,00 ;12;1;1
124420;182;1;14434;182; $1.030,00 ;26;1;1
124440;1;2;75138;153; $70.334.375,00 ;22;0;0
124470;68;1;43194;190; $3.003.076.923.076.920,00 ;3;0;0
124490;93;3;186337;1029; $2.383.030.303.030.300,00 ;3;1;1
124500;187;1;9600;64; $1.450,00 ;26;1;1
124550;187;3;39430;243; $1.733.793.103.448.280,00 ;26;1;1
124570;245;1;19635;33; $5.950,00 ;6;1;1
124610;126;2;61358;287; $2.908.857.142.857.140,00 ;28;1;1
124620;100;1;59579;287; $390.525,00 ;26;1;1
124630;7;1;31493;189; $2.110,00 ;3;0;0
124640;284;1;13875;21; $5.716.666.666.666.670,00 ;3;1;1
124680;219;1;47331;239; $27.588.461.538.461.500,00 ;13;1;1
124720;153;2;153236;1109; $1.824.625,00 ;13;1;1
124730;61;3;165523;561; $2.883.076.923.076.920,00 ;13;0;0
124740;4;3;105994;693; $2.330.597.014.925.370,00 ;13;0;0
124760;220;1;23992;20; $10.026.666.666.666.700,00 ;13;1;1
124780;182;1;50540;236; $30.352.777.777.777.800,00 ;14;1;1
124800;30;2;170282;978; $23.408.536.585.365.900,00 ;13;0;0
124810;163;3;165164;1288; $18.773.170.731.707.300,00 ;13;1;1
124830;36;4;78280;646; $15.382.051.282.051.300,00 ;27;0;0
124840;153;3;164995;962; $2.718.395.061.728.390,00 ;26;1;1
124890;163;1;27661;105; $4.594,00 ;12;1;1
124910;334;1;41342;260; $26.188.461.538.461.500,00 ;12;1;1
124920;154;1;11900;123; $10.172.727.272.727.300,00 ;13;1;1
124940;338;2;17518;88; $3.080.769.230.769.230,00 ;12;1;1
125000;71;3;66250;488; $23.388.235.294.117.600,00 ;13;0;0
125010;163;1;193404;1783; $21.529.530.201.342.300,00 ;13;1;1
125040;91;1;21234;87; $2.555,00 ;13;1;1
125070;157;1;4675;11; $4.250,00 ;26;1;1
125080;61;1;26385;203; $1.551.346.153.846.150,00 ;12;0;0
125120;245;2;13803;99; $25.794.117.647.058.800,00 ;16;1;1
125160;5;1;52974;345; $14.915.384.615.384.600,00 ;13;0;0
125170;30;4;185974;1161; $2.056.206.896.551.720,00 ;13;0;0
125180;1;3;99512;836; $17.078.082.191.780.800,00 ;13;0;0
125190;154;1;25678;183; $15.761.111.111.111.100,00 ;13;1;1
125200;38;1;85485;618; $27.015,00 ;13;0;0
125230;10;3;35685;160; $3.827.916.666.666.670,00 ;12;0;0
125240;71;4;201085;2681; $16.972.916.666.666.700,00 ;13;0;0
125260;90;2;70360;406; $24.152.380.952.381.000,00 ;13;0;0
125280;130;2;48136;179; $5.441.071.428.571.430,00 ;13;1;1
125300;31;3;111994;681; $2.862.307.692.307.690,00 ;13;0;0
125320;91;1;23481;153; $2.111.875,00 ;12;1;1
125340;337;1;98226;651; $27.525.396.825.396.800,00 ;13;1;1
125350;93;2;67045;219; $3.776.470.588.235.290,00 ;12;1;1
125380;61;1;35261;191; $3.553.333.333.333.330,00 ;26;0;0
125390;71;1;159453;643; $4.011.505.376.344.090,00 ;26;0;0
125410;61;2;60327;549; $1.763.658.536.585.370,00 ;26;0;0
125440;275;1;30592;136; $25.478.947.368.421.100,00 ;26;1;1
125470;252;1;13168;109; $11.716.666.666.666.700,00 ;26;1;1
125520;334;1;120;3; $400,00 ;17;1;1
125530;1;4;119970;651; $23.586.153.846.153.800,00 ;12;0;0
125560;34;1;30165;166; $25.297.014.925.373.100,00 ;26;0;0
125580;302;1;26996;196; $1.250,00 ;29;1;1
125590;312;1;756;36; $210,00 ;13;1;1
125600;243;1;51302;290; $25.010.714.285.714.300,00 ;13;1;1
125610;70;1;22751;177; $284.625,00 ;13;0;0
125620;217;2;107505;646; $1.872.941.176.470.590,00 ;12;1;1
125690;1;18;170407;1119; $18.139.285.714.285.700,00 ;13;0;0
125710;64;1;24835;197; $15.071.428.571.428.600,00 ;12;0;0
125720;333;1;43422;159; $3.914.166.666.666.670,00 ;13;1;1
125760;131;4;99725;819; $21.094.444.444.444.400,00 ;23;1;1
125770;244;2;38685;338; $1.522,00 ;12;1;1
125800;160;1;38006;238; $1.865,00 ;13;1;1
125840;158;4;72218;161; $70.375,00 ;17;1;1
125870;302;1;10440;51; $1.660,00 ;11;1;1
125890;30;1;39314;223; $24.664,00 ;12;0;0
125920;67;2;40196;290; $13.311.111.111.111.100,00 ;13;0;0
125930;220;2;26726;152; $1.578.125,00 ;12;1;1
125940;64;3;79035;593; $1.545,00 ;17;0;0
125960;37;1;20317;156; $22.513.333.333.333.300,00 ;26;0;0
125970;96;1;61395;445; $3.541.666.666.666.670,00 ;26;1;1
125980;30;4;112904;992; $14.019.607.843.137.300,00 ;12;0;0
125990;34;4;52452;635; $9.097.435.897.435.900,00 ;12;0;0
126000;30;3;75928;297; $24.573.684.210.526.300,00 ;13;0;0
126010;40;3;25688;161; $1.516.315.789.473.680,00 ;13;0;0
126020;1;1;15312;162; $19.708.333.333.333.300,00 ;12;0;0
126070;62;1;157951;1228; $21.577.227.722.772.300,00 ;29;0;0
126090;188;1;41236;295; $2.942.962.962.962.960,00 ;13;1;1
126100;217;1;80563;457; $42.627.777.777.777.800,00 ;17;1;1
126140;161;1;31560;76; $5.610,00 ;13;1;1
126150;152;2;96370;625; $23.106.666.666.666.700,00 ;12;1;1
126160;216;1;41072;186; $27.304.761.904.761.900,00 ;12;1;1
126170;61;1;34608;213; $1.858.095.238.095.240,00 ;12;0;0
126190;183;2;83620;523; $2.693.866.666.666.670,00 ;13;1;1
126230;130;1;26946;191; $16.388.888.888.888.900,00 ;13;1;1
126250;6;1;82464;703; $11.075.757.575.757.600,00 ;13;0;0
126280;183;3;71770;448; $2.100.731.707.317.070,00 ;13;1;1
126330;1;2;39879;231; $20.541.379.310.344.800,00 ;13;0;0
126350;32;2;148434;1172; $20.747.524.752.475.200,00 ;13;0;0
126380;183;1;49439;577; $14.476.923.076.923.100,00 ;27;1;1
126440;306;1;44731;325; $23.109.677.419.354.800,00 ;13;1;1
126450;183;2;77080;499; $15.638.235.294.117.600,00 ;13;1;1
126460;213;1;61528;408; $20.338.095.238.095.200,00 ;29;1;1
126470;32;7;166409;807; $362.320.987.654.321,00 ;13;0;0
126480;126;1;30023;160; $23.238.095.238.095.200,00 ;13;1;1
126490;36;1;31668;204; $14.864.705.882.352.900,00 ;13;0;0
126500;182;1;23182;254; $949,00 ;12;1;1
126510;101;1;10266;78; $20.344.444.444.444.400,00 ;12;1;1
126520;10;1;72720;505; $24.079.166.666.666.700,00 ;12;0;0
126540;303;1;10805;64; $3.493.636.363.636.360,00 ;13;1;1
126590;61;1;7386;105; $1.744,00 ;12;0;0
126620;90;5;144811;896; $21.229.896.907.216.500,00 ;13;0;0
126640;1;4;208690;552; $2.777.692.307.692.310,00 ;11;0;0
126670;1;1;43113;395; $19.606.060.606.060.600,00 ;11;0;0
126690;4;2;49488;267; $584.125,00 ;12;0;0
126700;61;2;114394;606; $2.288.372.093.023.260,00 ;12;0;0
126730;243;1;35398;180; $23.452.631.578.947.400,00 ;13;1;1
126740;93;2;91766;639; $20.445.652.173.913.000,00 ;12;1;1
126760;125;3;67001;387; $1.837.826.086.956.520,00 ;27;1;1
126780;219;2;169948;1196; $2.011.578.947.368.420,00 ;12;1;1
126790;1;2;77651;407; $25.179.545.454.545.500,00 ;12;0;0
126800;32;2;30999;148; $2.631.363.636.363.640,00 ;12;0;0
126840;67;3;84498;730; $13.729.787.234.042.600,00 ;12;0;0
126850;30;3;177816;1120; $20.960.714.285.714.300,00 ;12;0;0
126860;639;1;7132;107; $7.128.571.428.571.430,00 ;12;1;1
126890;247;1;46405;281; $21.508.823.529.411.800,00 ;12;1;1
126910;1;2;44386;196; $18.554.545.454.545.500,00 ;12;0;0
126930;6;2;33683;119; $31.463.157.894.736.800,00 ;13;0;0
126940;95;1;31746;323; $17.255,00 ;12;1;1
126950;245;2;23290;48; $495.375,00 ;12;1;1
126970;30;1;18408;149; $22.408.333.333.333.300,00 ;27;0;0
127010;37;1;26742;246; $29.485.714.285.714.300,00 ;13;0;0
127040;244;3;77345;365; $33.825,00 ;11;1;1
127080;61;4;72159;433; $2.063,00 ;13;0;0
127100;246;2;37660;465; $1.330,00 ;13;1;1
127120;10;8;207010;683; $34.291.764.705.882.400,00 ;13;0;0
127130;90;1;79509;508; $20.344.736.842.105.300,00 ;13;0;0
127160;182;1;32465;205; $22.570.833.333.333.300,00 ;12;1;1
127170;34;2;78366;506; $2.627.818.181.818.180,00 ;14;0;0
127190;215;2;52462;374; $22.464.102.564.102.600,00 ;12;1;1
127210;95;4;168895;1413; $23.894.262.295.082.000,00 ;12;1;1
127220;4;1;30292;156; $38.763.157.894.736.800,00 ;12;0;0
127230;182;3;35122;215; $291.219.512.195.122,00 ;12;1;1
127240;40;2;32750;190; $16.821.052.631.578.900,00 ;12;0;0
127250;639;1;36102;164; $2.870.416.666.666.670,00 ;17;1;1
127260;30;3;126346;1541; $11.622.222.222.222.200,00 ;12;0;0
127270;216;4;149908;853; $24.783.928.571.428.600,00 ;12;1;1
127280;40;1;18288;122; $26.361.538.461.538.500,00 ;12;0;0
127350;193;1;27279;263; $3.401.818.181.818.180,00 ;12;1;1
127360;40;1;14490;173; $1.125,00 ;12;0;0
127380;666;1;12223;148; $16.345.454.545.454.500,00 ;13;1;1
127390;335;1;96420;485; $3.052.162.162.162.160,00 ;30;1;1
127400;154;1;41230;342; $17.907.407.407.407.400,00 ;12;1;1
127500;278;1;24528;137; $3.600,00 ;23;1;1
127540;161;2;6162;49; $12.575.510.204.081.600,00 ;18;1;1
127580;130;1;147947;1109; $185.625,00 ;24;1;1
127590;99;1;39242;277; $21.459.259.259.259.300,00 ;21;1;1
127620;302;1;117359;1032; $14.241.666.666.666.700,00 ;24;1;1
127630;578;1;32008;196; $1.811.875,00 ;18;1;1
127660;101;3;208989;1102; $2.814.727.272.727.270,00 ;24;1;1
127720;31;1;70473;556; $26.141.818.181.818.200,00 ;24;0;0
127750;280;2;58970;442; $21.685.185.185.185.200,00 ;21;1;1
127780;96;2;22623;297; $884.375,00 ;21;1;1
127810;154;1;23788;325; $978,00 ;7;1;1
127820;213;1;22453;128; $25.142.857.142.857.100,00 ;24;1;1
127830;152;2;46156;231; $3.049,00 ;24;1;1
127850;425;1;21871;131; $27.135.714.285.714.300,00 ;24;1;1
127870;93;1;13391;145; $11.625,00 ;21;1;1
127890;215;1;7700;4; $19.250,00 ;21;1;1
127910;698;1;17775;97; $1.000,00 ;21;1;1
127930;101;2;46232;295; $1.600,00 ;24;1;1
127940;305;1;30566;227; $1.885,00 ;24;1;1
127970;455;1;22631;118; $30.115.384.615.384.600,00 ;24;1;1
128020;188;1;38654;314; $18.504,00 ;21;1;1
128080;127;3;44459;188; $29.885.714.285.714.300,00 ;24;1;1
128160;216;1;18920;51; $5.465,00 ;23;1;1
128170;283;1;12644;53; $21.725,00 ;1;1;1
128200;182;1;17633;115; $21.466.666.666.666.700,00 ;31;1;1
128210;97;1;7742;70; $12.233.333.333.333.300,00 ;31;1;1
128230;246;1;22950;30; $7.650,00 ;31;1;1
128240;31;1;39712;232; $25.356,00 ;31;0;0
128260;61;3;56360;284; $22.080.645.161.290.300,00 ;31;0;0
128270;153;2;21240;80; $3.150,00 ;31;1;1
128280;152;5;79312;446; $2.881.914.893.617.020,00 ;31;1;1
128290;163;1;20725;251; $11.300,00 ;31;1;1
128320;153;2;38303;195; $2.928.888.888.888.890,00 ;31;1;1
128340;311;1;24434;110; $4.578.888.888.888.890,00 ;31;1;1
128360;31;3;208631;909; $3.903.576.158.940.400,00 ;31;0;0
128380;183;2;57873;359; $1.965.609.756.097.560,00 ;31;1;1
128400;66;2;129670;666; $2.001,00 ;31;0;0
128420;253;1;24638;157; $28.885.714.285.714.300,00 ;31;1;1
128430;67;5;121549;539; $32.855,00 ;31;0;0
128440;61;2;30517;125; $24.494.230.769.230.800,00 ;31;0;0
128490;122;1;28915;109; $3.723.333.333.333.330,00 ;31;1;1
128510;246;1;13329;109; $19.088,00 ;31;1;1
128540;7;1;40724;260; $19.888.095.238.095.200,00 ;31;0;0
128550;667;1;3810;30; $1.550,00 ;31;1;1
128560;30;3;80652;439; $2.121.509.433.962.260,00 ;31;0;0
128570;70;1;68730;274; $3.241.764.705.882.350,00 ;31;0;0
128650;125;1;94736;550; $26.994.827.586.206.900,00 ;1;1;1
128660;342;1;48838;171; $3.771.923.076.923.080,00 ;3;1;1
128670;97;2;110618;1367; $11.354.658.385.093.200,00 ;31;1;1
128680;10;4;109678;662; $26.042.857.142.857.100,00 ;31;0;0
128720;455;1;35207;203; $2.311.578.947.368.420,00 ;31;1;1
128730;311;1;31280;128; $2.125,00 ;31;1;1
128750;364;1;29376;1728; $170,00 ;31;1;1
128770;156;4;34596;340; $13.457.142.857.142.900,00 ;31;1;1
128790;93;1;14050;58; $2.325,00 ;31;1;1
128810;99;1;7435;21; $3.207.142.857.142.860,00 ;31;1;1
128820;183;1;47184;106; $5.410,00 ;31;1;1
128830;32;1;25158;68; $5.370,00 ;31;0;0
128840;2;1;14075;43; $3.962.857.142.857.140,00 ;31;0;0
128850;125;3;111798;655; $32.432.394.366.197.200,00 ;31;1;1
128860;250;2;126806;770; $309.390.243.902.439,00 ;31;1;1
128880;97;1;8136;24; $3.390,00 ;31;1;1
128910;158;2;28900;850; $340,00 ;31;1;1
128930;91;1;17680;96; $19.885.294.117.647.100,00 ;31;1;1
128970;39;1;12880;64; $2.200,00 ;31;0;0
129010;36;6;154254;1850; $23.507.142.857.142.900,00 ;31;0;0
129100;7;2;115054;722; $20.124.242.424.242.400,00 ;31;0;0
129120;152;2;80424;320; $28.372.727.272.727.300,00 ;31;1;1
129130;39;4;138664;868; $24.660.714.285.714.300,00 ;31;0;0
129150;667;1;15771;41; $6.370,00 ;31;1;1
129170;278;1;59400;120; $4.950,00 ;31;1;1
129190;3;3;66152;346; $22.853.571.428.571.400,00 ;31;0;0
129220;338;1;38270;370; $14.928.571.428.571.400,00 ;31;1;1
129230;184;1;17697;69; $2.936.551.724.137.930,00 ;31;1;1
129240;2;2;50823;272; $2.980,00 ;31;0;0
129250;213;1;31089;283; $1.240,00 ;31;1;1
129280;7;2;67408;802; $1.580.625,00 ;31;0;0
129290;343;1;10255;37; $61.625,00 ;31;1;1
129330;342;1;11075;65; $2.500,00 ;31;1;1
129350;151;2;34378;330; $17.426.315.789.473.700,00 ;31;1;1
129420;455;1;24345;69; $499.375,00 ;31;1;1
129440;244;1;29506;144; $2.363.125,00 ;31;1;1
129470;66;4;81008;603; $2.659.387.755.102.040,00 ;31;0;0
129480;31;2;61531;273; $27.080.555.555.555.600,00 ;31;0;0
129500;152;2;153140;1216; $116.375,00 ;31;1;1
129510;221;2;40700;227; $26.214.814.814.814.800,00 ;31;1;1
129520;243;1;19909;119; $29.155.555.555.555.600,00 ;31;1;1
129560;192;1;10042;34; $3.962.631.578.947.370,00 ;31;1;1
129570;188;2;96960;572; $3.614.561.403.508.770,00 ;31;1;1
129620;302;1;9585;51; $2.490,00 ;31;1;1
129630;333;2;56241;269; $27.432.142.857.142.900,00 ;31;1;1
129650;32;1;66895;283; $2.919.908.256.880.730,00 ;31;0;0
129670;639;1;136840;360; $7.203.333.333.333.330,00 ;31;1;1
129700;302;2;42088;302; $19.251.048.951.049.000,00 ;31;1;1
129760;6;1;73860;561; $15.345.454.545.454.500,00 ;31;0;0
129770;187;1;1179;12; $1.180,00 ;31;1;1
129810;61;1;16236;108; $15.188.888.888.888.900,00 ;31;0;0
129820;37;1;37920;288; $17.803.571.428.571.400,00 ;31;0;0
129850;30;2;119942;1533; $17.757.894.736.842.100,00 ;31;0;0
129900;122;3;40950;200; $2.050,00 ;31;1;1
129930;33;1;19710;112; $20.275,00 ;31;0;0
129940;33;2;56890;293; $3.948.974.358.974.360,00 ;31;0;0
129970;2;1;26958;170; $284.125,00 ;31;0;0
129990;129;1;25224;310; $12.952.173.913.043.500,00 ;31;1;1
130000;425;1;17907;77; $3.991.818.181.818.180,00 ;31;1;1
130030;34;2;8905;55; $2.450,00 ;31;0;0
130050;160;1;32165;135; $45.444.444.444.444.400,00 ;31;1;1
130110;666;1;5055;13; $4.216.666.666.666.670,00 ;31;1;1
130120;67;2;26208;148; $3.820.625,00 ;31;0;0
130140;153;4;138854;376; $5.160,00 ;31;1;1
130150;129;3;94877;467; $35.851.724.137.931.000,00 ;31;1;1
130160;125;1;37989;315; $3.012.142.857.142.860,00 ;31;1;1
130170;302;1;20400;48; $4.250,00 ;31;1;1
130180;91;8;204098;2098; $16.208.333.333.333.300,00 ;31;1;1
130210;128;3;81684;449; $41.524.444.444.444.400,00 ;31;1;1
130230;184;2;54770;286; $352.425,00 ;31;1;1
130260;99;5;97536;1620; $67.575,00 ;31;1;1
130270;157;2;15360;3840; $40,00 ;31;1;1
130290;91;1;47430;42; $9.016.666.666.666.670,00 ;31;1;1
130300;547;1;40110;204; $27.476.666.666.666.700,00 ;31;1;1
130340;578;1;15452;116; $1.510.909.090.909.090,00 ;31;1;1
130370;250;1;32690;136; $4.668.333.333.333.330,00 ;31;1;1
130380;96;1;19666;94; $23.328.571.428.571.400,00 ;31;1;1
130400;183;2;63163;355; $2.672.093.023.255.810,00 ;31;1;1
130430;38;1;45522;254; $39.146.153.846.153.800,00 ;31;0;0
130450;336;1;28260;221; $13.605.555.555.555.600,00 ;31;1;1
130460;91;1;33610;188; $3.439.047.619.047.620,00 ;31;1;1
130470;122;7;155485;798; $360.314.606.741.573,00 ;31;1;1
130490;184;1;50290;190; $5.364.285.714.285.710,00 ;31;1;1
130500;64;5;175352;1065; $29.110.795.454.545.500,00 ;31;0;0
130520;36;1;33465;222; $3.268.888.888.888.890,00 ;31;0;0
130550;67;1;34486;252; $2.671.818.181.818.180,00 ;31;0;0
130580;1;2;13770;26; $5.283.333.333.333.330,00 ;31;0;0
130590;251;1;17575;35; $42.625,00 ;31;1;1
130620;339;1;21369;343; $3.906.363.636.363.640,00 ;31;1;1
130640;2;2;50655;306; $24.697.435.897.435.900,00 ;31;0;0
130650;698;1;20586;74; $5.222.142.857.142.860,00 ;31;1;1
130660;153;1;14056;136; $18.425,00 ;31;1;1
130750;306;1;91961;485; $20.395.454.545.454.500,00 ;31;1;1
130770;120;2;44476;559; $13.425.396.825.396.800,00 ;31;1;1
130790;93;2;6570;30; $3.600,00 ;31;1;1
130820;217;3;172486;2398; $18.933.333.333.333.300,00 ;31;1;1
130830;213;1;8076;44; $2.435,00 ;31;1;1
130850;218;1;10738;44; $35.644.444.444.444.400,00 ;31;1;1
130910;30;1;32314;466; $9.033.333.333.333.330,00 ;31;0;0
130920;6;2;15100;38; $5.175,00 ;31;0;0
130940;39;8;113424;1032; $1.120,00 ;31;0;0
130970;94;3;157456;720; $4.000,00 ;31;1;1
130990;335;1;20736;288; $720,00 ;31;1;1
131040;182;1;33948;108; $2.870,00 ;31;1;1
131070;71;1;56684;468; $16.047.619.047.619.000,00 ;31;0;0
131080;667;1;25826;298; $987,00 ;31;1;1
131090;31;2;76386;520; $2.566.170.212.765.960,00 ;31;0;0
131100;122;3;74759;201; $48.881.538.461.538.500,00 ;31;1;1
131150;1;2;170024;1229; $26.917.525.773.195.900,00 ;31;0;0
131170;64;5;64203;501; $29.082,00 ;31;0;0
131220;185;1;1872;48; $390,00 ;31;1;1
131260;69;5;110401;1079; $16.006.493.506.493.500,00 ;31;0;0
131300;185;1;6400;32; $2.250,00 ;31;1;1
131310;219;1;32490;128; $37.814.285.714.285.700,00 ;31;1;1
131330;38;2;9846;32; $5.072.857.142.857.140,00 ;31;0;0
131340;96;1;32206;162; $25.595.238.095.238.100,00 ;31;1;1
131360;36;1;56096;276; $3.078.666.666.666.670,00 ;31;0;0
131370;30;4;193047;1241; $17.855.451.713.395.600,00 ;31;0;0
131380;667;1;18189;125; $26.307.142.857.142.900,00 ;31;1;1
131390;128;3;188738;650; $47.740.579.710.144.900,00 ;31;1;1
131400;486;1;15195;75; $203.875,00 ;31;1;1
131410;97;1;35793;347; $12.582.142.857.142.900,00 ;31;1;1
131440;40;1;11095;21; $6.216.666.666.666.670,00 ;31;0;0
131450;93;3;20767;121; $2.652,00 ;31;1;1
131470;91;2;35640;72; $4.950,00 ;31;1;1
131480;61;5;161034;1055; $25.644.444.444.444.400,00 ;31;0;0
131530;243;1;48622;418; $1.278,00 ;31;1;1
131550;183;2;44619;220; $2.752.413.793.103.450,00 ;31;1;1
131570;7;1;30012;284; $12.414.285.714.285.700,00 ;31;0;0
131580;3;3;94465;649; $19.395,00 ;31;0;0
131590;333;1;28256;252; $1.478.695.652.173.910,00 ;31;1;1
131620;94;3;113392;1260; $13.349.122.807.017.500,00 ;31;1;1
131660;342;1;41720;216; $23.914.634.146.341.500,00 ;31;1;1
131670;276;2;40488;326; $3.067.073.170.731.710,00 ;31;1;1
131680;275;1;32385;125; $38.836.842.105.263.200,00 ;31;1;1
131690;154;2;71288;272; $3.782.307.692.307.690,00 ;31;1;1
131730;213;2;33853;277; $24.709.302.325.581.400,00 ;31;1;1
131740;578;1;133659;700; $29.188.757.396.449.700,00 ;31;1;1
131770;184;1;25977;91; $3.292.352.941.176.470,00 ;31;1;1
131780;97;3;145372;935; $2.226.883.116.883.120,00 ;31;1;1
131830;101;4;177674;970; $20.117.073.170.731.700,00 ;31;1;1
131840;34;5;83887;857; $16.721.212.121.212.100,00 ;31;0;0
131860;155;2;101619;547; $31.793.650.793.650.800,00 ;31;1;1
131870;192;1;21307;95; $3.145.135.135.135.130,00 ;31;1;1
131920;216;1;42494;297; $21.616.666.666.666.700,00 ;31;1;1
131930;92;1;10438;50; $2.637.586.206.896.550,00 ;31;1;1
131980;33;3;169025;1524; $19.155.555.555.555.600,00 ;31;0;0
132000;217;1;29664;249; $16.628.571.428.571.400,00 ;31;1;1
132030;33;2;30986;274; $33.545,00 ;31;0;0
132070;4;1;19752;72; $3.126,00 ;31;0;0
132080;1;4;66487;476; $2.235.679.012.345.680,00 ;31;0;0
132100;155;1;35348;316; $1.511.818.181.818.180,00 ;31;1;1
132110;215;1;77594;573; $1.375,00 ;31;1;1
132120;92;2;27428;95; $35.976.785.714.285.700,00 ;31;1;1
132130;96;2;52304;272; $4.600,00 ;31;1;1
132170;94;2;13702;118; $1.870,00 ;31;1;1
132180;247;1;6264;88; $930,00 ;31;1;1
132200;158;2;54580;120; $358.375,00 ;31;1;1
132240;34;2;191961;1518; $17.934.259.259.259.300,00 ;31;0;0
132260;38;1;7662;80; $221.125,00 ;31;0;0
132300;60;7;150727;956; $21.053.076.923.076.900,00 ;31;0;0
132320;5;3;42604;358; $2.558.695.652.173.910,00 ;31;0;0
132330;163;1;30424;404; $9.541.176.470.588.240,00 ;31;1;1
132350;36;1;87933;441; $24.194.827.586.206.900,00 ;31;0;0
132400;246;2;30378;188; $22.888.888.888.888.900,00 ;31;1;1
132420;67;2;10400;50; $2.080,00 ;31;0;0
132440;124;1;10644;38; $3.181.111.111.111.110,00 ;31;1;1
132480;156;2;46568;305; $2.687.307.692.307.690,00 ;31;1;1
132490;124;2;40832;306; $31.023.809.523.809.500,00 ;31;1;1
132530;187;2;103040;1572; $11.419.444.444.444.400,00 ;31;1;1
132550;698;1;22570;110; $4.550,00 ;31;1;1
132590;92;1;27522;132; $211.183.908.045.977,00 ;31;1;1
132600;92;1;55762;142; $49.675,00 ;31;1;1
132650;2;4;170366;1352; $21.150.666.666.666.700,00 ;31;0;0
132660;61;5;159209;1935; $19.038.571.428.571.400,00 ;31;0;0
132680;7;3;79843;850; $16.845.454.545.454.500,00 ;31;0;0
132700;486;1;59000;200; $2.950,00 ;31;1;1
132710;303;1;20604;253; $11.179.166.666.666.700,00 ;31;1;1
132720;32;2;27656;96; $5.339.333.333.333.330,00 ;31;0;0
132760;154;2;51947;161; $4.596.666.666.666.670,00 ;31;1;1
132800;94;2;40377;179; $2.851.363.636.363.640,00 ;31;1;1
132820;281;1;29880;84; $31.857.142.857.142.900,00 ;31;1;1
132830;31;2;9366;90; $13.071.428.571.428.600,00 ;31;0;0
132850;338;1;77604;540; $16.696.363.636.363.600,00 ;31;1;1
132910;157;1;35355;233; $24.842.857.142.857.100,00 ;31;1;1
132920;334;1;31812;214; $22.894.117.647.058.800,00 ;31;1;1
132940;251;2;83369;453; $33.705.555.555.555.600,00 ;31;1;1
132970;276;2;163890;742; $3.014.375,00 ;31;1;1
132980;121;1;36000;96; $3.750,00 ;31;1;1
133010;248;2;29943;175; $2.526,00 ;31;1;1
133020;156;1;6375;5; $12.750,00 ;31;1;1
133050;38;6;100683;735; $2.785.681.818.181.820,00 ;31;0;0
133070;33;1;1500;4; $3.750,00 ;31;0;0
133090;2;3;100709;1045; $15.056,00 ;31;0;0
133100;29;1;31438;192; $21.895,00 ;31;0;0
